Lampiran :,,,,,,,,,,
Dataset Kejahatan Online,,,,,,,,,,
,,,,,,,,,,
Jenis_Kelamin_Korban,Usia_Korban,Pekerjaan_Korban,Tempat_Tinggal_Korban,TKP,Waktu_Kejadian,Hari_kejadian,Modus_Operandi,Akibat,Objek,Tindak_pidana
Laki_Laki,37,Tenaga_Profesional,Pusat_Kota,Pusat_Kota,Pagi,Minggu,Mendistribusikan_penghinaan,Adanya_hinaan_dan_pencemaran_nama_baik,Informasi_elektronik,Penghinaan_atau_pencemaran online
Perempuan,37,Tenaga_Profesional,Pusat_Kota,Pusat_Kota,Pagi,Senin,Mendistribusikan_penghinaan,Adanya_hinaan_dan_pencemaran_nama_baik,Informasi_elektronik,Penghinaan_atau_pencemaran online
Perempuan,37,Tenaga_Profesional,Pusat_Kota,Pusat_Kota,Pagi,Selasa,Mendistribusikan_penghinaan,Adanya_hinaan_dan_pencemaran_nama_baik,Informasi_elektronik,Penghinaan_atau_pencemaran online
Perempuan,37,Tenaga_Profesional,Pusat_Kota,Pusat_Kota,Pagi,Senin,Mendistribusikan_penghinaan,Adanya_hinaan_dan_pencemaran_nama_baik,Informasi_elektronik,Penghinaan_atau_pencemaran online
Perempuan,37,Tenaga_Profesional,Pusat_Kota,Pusat_Kota,Pagi,Rabu,Mendistribusikan_penghinaan,Adanya_hinaan_dan_pencemaran_nama_baik,Informasi_elektronik,Penghinaan_atau_pencemaran online
Laki_Laki,37,Tenaga_Profesional,Pusat_Kota,Pusat_Kota,Pagi,Kamis,Mendistribusikan_penghinaan,Adanya_hinaan_dan_pencemaran_nama_baik,Informasi_elektronik,Penghinaan_atau_pencemaran online
Laki_Laki,37,Tenaga_Profesional,Pusat_Kota,Pusat_Kota,Pagi,Selasa,Mendistribusikan_penghinaan,Adanya_hinaan_dan_pencemaran_nama_baik,Informasi_elektronik,Penghinaan_atau_pencemaran online
Laki_Laki,37,Tenaga_Profesional,Pusat_Kota,Pusat_Kota,Pagi,Senin,Mendistribusikan_penghinaan,Adanya_hinaan_dan_pencemaran_nama_baik,Informasi_elektronik,Penghinaan_atau_pencemaran online
Laki_Laki,37,Tenaga_Profesional,Pusat_Kota,Pusat_Kota,Pagi,Rabu,Mendistribusikan_penghinaan,Adanya_hinaan_dan_pencemaran_nama_baik,Informasi_elektronik,Penghinaan_atau_pencemaran online
Perempuan,37,Tenaga_Profesional,Pusat_Kota,Pusat_Kota,Pagi,Kamis,Mendistribusikan_penghinaan,Adanya_hinaan_dan_pencemaran_nama_baik,Informasi_elektronik,Penghinaan_atau_pencemaran online
Perempuan,37,Tenaga_Profesional,Pusat_Kota,Pusat_Kota,Pagi,Rabu,Mendistribusikan_penghinaan,Adanya_hinaan_dan_pencemaran_nama_baik,Informasi_elektronik,Penghinaan_atau_pencemaran online
Laki_Laki,37,Tenaga_Profesional,Pusat_Kota,Pusat_Kota,Pagi,Kamis,Mendistribusikan_penghinaan,Adanya_hinaan_dan_pencemaran_nama_baik,Informasi_elektronik,Penghinaan_atau_pencemaran online
Laki_Laki,37,Tenaga_Profesional,Pusat_Kota,Pusat_Kota,Pagi,Minggu,Mendistribusikan_penghinaan,Adanya_hinaan_dan_pencemaran_nama_baik,Informasi_elektronik,Penghinaan_atau_pencemaran online
Laki_Laki,37,Tenaga_Profesional,Pusat_Kota,Pusat_Kota,Pagi,Jumat,Mendistribusikan_penghinaan,Adanya_hinaan_dan_pencemaran_nama_baik,Informasi_elektronik,Penghinaan_atau_pencemaran online
Perempuan,37,Tenaga_Profesional,Pusat_Kota,Pusat_Kota,Pagi,Senin,Mendistribusikan_penghinaan,Adanya_hinaan_dan_pencemaran_nama_baik,Informasi_elektronik,Penghinaan_atau_pencemaran online
Perempuan,37,Tenaga_Profesional,Pusat_Kota,Pusat_Kota,Pagi,Rabu,Mendistribusikan_penghinaan,Adanya_hinaan_dan_pencemaran_nama_baik,Informasi_elektronik,Penghinaan_atau_pencemaran online
Laki_Laki,37,Tenaga_Profesional,Pusat_Kota,Pusat_Kota,Pagi,Selasa,Mendistribusikan_penghinaan,Adanya_hinaan_dan_pencemaran_nama_baik,Informasi_elektronik,Penghinaan_atau_pencemaran online
Laki_Laki,37,Tenaga_Profesional,Pusat_Kota,Pusat_Kota,Pagi,Senin,Mendistribusikan_penghinaan,Adanya_hinaan_dan_pencemaran_nama_baik,Informasi_elektronik,Penghinaan_atau_pencemaran online
Laki_Laki,37,Tenaga_Profesional,Pusat_Kota,Pusat_Kota,Pagi,Kamis,Mendistribusikan_penghinaan,Adanya_hinaan_dan_pencemaran_nama_baik,Informasi_elektronik,Penghinaan_atau_pencemaran online
Laki_Laki,37,Tenaga_Profesional,Pusat_Kota,Pusat_Kota,Pagi,Minggu,Mendistribusikan_penghinaan,Adanya_hinaan_dan_pencemaran_nama_baik,Informasi_elektronik,Penghinaan_atau_pencemaran online
Laki_Laki,37,Tenaga_Profesional,Pusat_Kota,Pusat_Kota,Pagi,Kamis,Mendistribusikan_penghinaan,Adanya_hinaan_dan_pencemaran_nama_baik,Informasi_elektronik,Penghinaan_atau_pencemaran online
Perempuan,37,Tenaga_Profesional,Pusat_Kota,Pusat_Kota,Pagi,Senin,Mendistribusikan_penghinaan,Adanya_hinaan_dan_pencemaran_nama_baik,Informasi_elektronik,Penghinaan_atau_pencemaran online
Laki_Laki,37,Tenaga_Profesional,Pusat_Kota,Pusat_Kota,Pagi,Senin,Mendistribusikan_penghinaan,Adanya_hinaan_dan_pencemaran_nama_baik,Sistem_elektronik,Penghinaan_atau_pencemaran online
Laki_Laki,37,Tenaga_Profesional,Pusat_Kota,Pusat_Kota,Pagi,Senin,Mendistribusikan_penghinaan,Adanya_hinaan_dan_pencemaran_nama_baik,Sistem_elektronik,Penghinaan_atau_pencemaran online
Laki_Laki,37,Tenaga_Profesional,Pusat_Kota,Pusat_Kota,Pagi,Selasa,Mendistribusikan_penghinaan,Adanya_hinaan_dan_pencemaran_nama_baik,Sistem_elektronik,Penghinaan_atau_pencemaran online
Laki_Laki,37,Tenaga_Profesional,Pusat_Kota,Pusat_Kota,Pagi,Selasa,Mendistribusikan_penghinaan,Adanya_hinaan_dan_pencemaran_nama_baik,Sistem_elektronik,Penghinaan_atau_pencemaran online
Laki_Laki,37,Tenaga_Profesional,Pusat_Kota,Pusat_Kota,Pagi,Jumat,Mendistribusikan_penghinaan,Adanya_hinaan_dan_pencemaran_nama_baik,Sistem_elektronik,Penghinaan_atau_pencemaran online
Laki_Laki,37,Tenaga_Profesional,Pusat_Kota,Pusat_Kota,Pagi,Senin,Mendistribusikan_penghinaan,Adanya_hinaan_dan_pencemaran_nama_baik,Sistem_elektronik,Penghinaan_atau_pencemaran online
Laki_Laki,37,Tenaga_Profesional,Pusat_Kota,Pusat_Kota,Pagi,Kamis,Mendistribusikan_penghinaan,Adanya_hinaan_dan_pencemaran_nama_baik,Sistem_elektronik,Penghinaan_atau_pencemaran online
Laki_Laki,37,Tenaga_Profesional,Pusat_Kota,Pusat_Kota,Pagi,Minggu,Mendistribusikan_penghinaan,Adanya_hinaan_dan_pencemaran_nama_baik,Sistem_elektronik,Penghinaan_atau_pencemaran online
Laki_Laki,37,Tenaga_Profesional,Pusat_Kota,Pusat_Kota,Pagi,Kamis,Mendistribusikan_penghinaan,Adanya_hinaan_dan_pencemaran_nama_baik,Sistem_elektronik,Penghinaan_atau_pencemaran online
Laki_Laki,37,Tenaga_Profesional,Pusat_Kota,Pusat_Kota,Pagi,Senin,Mendistribusikan_penghinaan,Adanya_hinaan_dan_pencemaran_nama_baik,Sistem_elektronik,Penghinaan_atau_pencemaran online
Perempuan,37,Tenaga_Profesional,Pusat_Kota,Pusat_Kota,Pagi,Minggu,Mendistribusikan_penghinaan,Adanya_hinaan_dan_pencemaran_nama_baik,Sistem_elektronik,Penghinaan_atau_pencemaran online
Perempuan,37,Tenaga_Profesional,Pusat_Kota,Pusat_Kota,Pagi,Sabtu,Mendistribusikan_penghinaan,Adanya_hinaan_dan_pencemaran_nama_baik,Sistem_elektronik,Penghinaan_atau_pencemaran online
Perempuan,37,Tenaga_Profesional,Pusat_Kota,Pusat_Kota,Pagi,Senin,Mendistribusikan_penghinaan,Adanya_hinaan_dan_pencemaran_nama_baik,Sistem_elektronik,Penghinaan_atau_pencemaran online
Laki_Laki,37,Tenaga_Profesional,Pusat_Kota,Pusat_Kota,Pagi,Jumat,Mendistribusikan_penghinaan,Adanya_hinaan_dan_pencemaran_nama_baik,Sistem_elektronik,Penghinaan_atau_pencemaran online
Perempuan,37,Tenaga_Profesional,Pusat_Kota,Pusat_Kota,Pagi,Jumat,Mendistribusikan_penghinaan,Adanya_hinaan_dan_pencemaran_nama_baik,Sistem_elektronik,Penghinaan_atau_pencemaran online
Perempuan,37,Tenaga_Profesional,Pusat_Kota,Pusat_Kota,Pagi,Selasa,Mendistribusikan_penghinaan,Adanya_hinaan_dan_pencemaran_nama_baik,Sistem_elektronik,Penghinaan_atau_pencemaran online
Laki_Laki,37,Tenaga_Profesional,Pusat_Kota,Pusat_Kota,Pagi,Sabtu,Mendistribusikan_penghinaan,Adanya_hinaan_dan_pencemaran_nama_baik,Sistem_elektronik,Penghinaan_atau_pencemaran online
Laki_Laki,37,Tenaga_Profesional,Pusat_Kota,Pusat_Kota,Pagi,Senin,Menyebarkan_berita_bohong,Kerugian_konsumen,Transaksi_elektronik,Penipuan_online
Perempuan,39,Tenaga_Profesional,Perkotaan,Pusat_Kota,Sore_Petang,Selasa,Menyebarkan_berita_bohong,Kerugian_konsumen,Transaksi_elektronik,Penipuan_online
Laki_Laki,41,Pekerja_Kasar_Tenaga_Kebersihan_dan_Tenaga_Ybdi,Perkotaan,Pusat_Kota,Dini_Hari,Rabu,Menyebarkan_berita_bohong,Kerugian_konsumen,Transaksi_elektronik,Penipuan_online
Laki_Laki,31,Tenaga_Profesional,Pusat_Kota,Pusat_Kota,Malam,Selasa,Menyebarkan_berita_bohong,Kerugian_konsumen,Transaksi_elektronik,Penipuan_online
Laki_Laki,43,Tenaga_Profesional,Perkotaan,Pusat_Kota,Siang,Kamis,Menyebarkan_berita_bohong,Kerugian_konsumen,Transaksi_elektronik,Penipuan_online
Laki_Laki,38,Tenaga_Profesional,Pusat_Kota,Pusat_Kota,Siang,Sabtu,Menyebarkan_berita_bohong,Kerugian_konsumen,Transaksi_elektronik,Penipuan_online
Perempuan,56,Tidak_Bekerja,Perkotaan,Pusat_Kota,Siang,Selasa,Menyebarkan_berita_bohong,Kerugian_konsumen,Transaksi_elektronik,Penipuan_online
Laki_Laki,28,Tenaga_Profesional,Pusat_Kota,Pusat_Kota,Sore_Petang,Selasa,Menyebarkan_berita_bohong,Kerugian_konsumen,Transaksi_elektronik,Penipuan_online
Perempuan,41,Tidak_Bekerja,Pusat_Kota,Pusat_Kota,Pagi,Rabu,Menyebarkan_berita_bohong,Kerugian_konsumen,Transaksi_elektronik,Penipuan_online
Perempuan,43,Tidak_Bekerja,Pusat_Kota,Pusat_Kota,Pagi,Rabu,Menyebarkan_berita_bohong,Kerugian_konsumen,Transaksi_elektronik,Penipuan_online
Perempuan,51,Tenaga_Profesional,Pusat_Kota,Pusat_Kota,Siang,Kamis,Menyebarkan_berita_bohong,Kerugian_konsumen,Transaksi_elektronik,Penipuan_online
Laki_Laki,34,Tenaga_Profesional,Pusat_Kota,Pusat_Kota,Sore_Petang,Jumat,Menyebarkan_berita_bohong,Kerugian_konsumen,Transaksi_elektronik,Penipuan_online
Perempuan,51,Tidak_Bekerja,Pusat_Kota,Pusat_Kota,Sore_Petang,Senin,Menyebarkan_berita_bohong,Kerugian_konsumen,Transaksi_elektronik,Penipuan_online
Laki_Laki,29,Tenaga_Profesional,Pinggiran_kota,Pusat_Kota,Sore_Petang,Senin,Menyebarkan_berita_bohong,Kerugian_konsumen,Transaksi_elektronik,Penipuan_online
Laki_Laki,51,Tenaga_Profesional,Perkotaan,Pusat_Kota,Siang,Rabu,Menyebarkan_berita_bohong,Kerugian_konsumen,Transaksi_elektronik,Penipuan_online
Laki_Laki,27,Tenaga_Profesional,Pinggiran_kota,Pusat_Kota,Siang,Senin,Menyebarkan_berita_bohong,Kerugian_konsumen,Transaksi_elektronik,Penipuan_online
